Name,Image
Caucasian Shepherd Dog,https://www.akc.org/wp-content/uploads/2017/11/GettyImages-1095398138-400x267.jpg
Cavalier King Charles Spaniel,https://www.akc.org/wp-content/uploads/2017/11/Cavalier-King-Charles-Spaniel-standing-in-the-grass-400x267.jpg
Central Asian Shepherd Dog,https://www.akc.org/wp-content/uploads/2017/11/Central-Asian-Shepherd-Dog-on-White-02-400x267.jpg
Cesky Terrier,https://www.akc.org/wp-content/uploads/2017/11/Cesky-Terrier-on-White-011-400x267.jpg
Chesapeake Bay Retriever,https://www.akc.org/wp-content/uploads/2017/11/Chesapeake-Bay-Retriever-hunting-400x267.jpg
Chihuahua,https://www.akc.org/wp-content/uploads/2017/11/Chihuahua-standing-in-three-quarter-view-400x267.jpg
Chinese Crested,https://www.akc.org/wp-content/uploads/2017/11/Chinese-Crested-On-White-01-400x267.jpg
Chinese Shar-Pei,https://www.akc.org/wp-content/uploads/2017/11/Chinese-Shar-Pei-standing-on-the-sidewalk-400x267.jpg
Chinook,https://www.akc.org/wp-content/uploads/2017/11/Chinook-On-White-03-400x267.jpg
Chow Chow,https://www.akc.org/wp-content/uploads/2017/11/Chow-Chow-On-White-01-400x267.jpg
Cirneco dellâ€™Etna,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/27154244/Cirneco-dellEtna-hunting-400x267.jpg
Clumber Spaniel,https://www.akc.org/wp-content/uploads/2017/11/Clumber-Spaniel-On-White-011-400x267.jpg
Cocker Spaniel,https://www.akc.org/wp-content/uploads/2017/11/Cocker-Spaniel-running-in-the-yard-400x267.jpg
Collie,https://www.akc.org/wp-content/uploads/2017/11/Collie-standing-in-a-field-400x267.jpg
Coton de Tulear,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/20175536/Coton-de-Tulear-standing-in-the-grass-400x267.jpg
Croatian Sheepdog,https://www.akc.org/wp-content/uploads/2018/05/Croatian-Sheepdog-400x267.jpg
Curly-Coated Retriever,https://www.akc.org/wp-content/uploads/2017/11/Curly-Coated-Retriever-standing-stacked-in-a-field-at-sunset.20200418030641387-400x267.jpg
Czechoslovakian Vlcak,https://www.akc.org/wp-content/uploads/2017/11/Czechoslovakian-Vlcak.179296809-400x267.jpg
Dachshund,https://www.akc.org/wp-content/uploads/2017/11/Longhaired-Dachshund-standing-outdoors-400x267.jpg
Dalmatian,https://www.akc.org/wp-content/uploads/2017/11/Dalmatian-On-White-01-400x267.jpg
Dandie Dinmont Terrier,https://www.akc.org/wp-content/uploads/2017/11/Dandie-Dinmont-Terrier-slide-6-400x267.jpg
Danish-Swedish Farmdog,https://www.akc.org/wp-content/uploads/2017/11/Danish-Swedish-Farmdog-standing-outdoors-at-dusk-400x267.jpg
Deutscher Wachtelhund,https://www.akc.org/wp-content/uploads/2017/11/AdobeStock_1083293871-400x267.jpg
Doberman Pinscher,https://www.akc.org/wp-content/uploads/2017/11/Doberman-Pinscher-standing-outdoors-400x267.jpg
Dogo Argentino,https://www.akc.org/wp-content/uploads/2017/11/Dogo-Argentino-400x267.jpg
Dogue de Bordeaux,https://www.akc.org/wp-content/uploads/2017/11/Dogue-de-Bordeaux-On-White-03-400x267.jpg
Drentsche Patrijshond,https://www.akc.org/wp-content/themes/akc/component-library/assets/img/1x1.trans.gif
Drever,https://www.akc.org/wp-content/themes/akc/component-library/assets/img/1x1.trans.gif
Dutch Shepherd,https://www.akc.org/wp-content/themes/akc/component-library/assets/img/1x1.trans.gif
English Cocker Spaniel,https://www.akc.org/wp-content/uploads/2017/11/English-Cocker-Spaniel-Slide03-400x267.jpg
English Foxhound,https://www.akc.org/wp-content/uploads/2017/11/English-Foxhound-standing-in-a-field-400x267.jpg
English Setter,https://www.akc.org/wp-content/uploads/2017/11/English-Setter-standing-in-a-field-400x267.jpg
English Springer Spaniel,https://www.akc.org/wp-content/uploads/2017/11/English-Springer-Spaniel-On-White-011-400x267.jpg
English Toy Spaniel,https://www.akc.org/wp-content/uploads/2017/11/English-Toy-Spaniel-On-White-01-400x267.jpg
Entlebucher Mountain Dog,https://www.akc.org/wp-content/uploads/2017/11/Entlebucher-Mountain-Dog-outdoors-standing-in-a-field-400x267.jpg
Estrela Mountain Dog,https://www.akc.org/wp-content/uploads/2017/11/Beau-400x267.jpg
Eurasier,https://www.akc.org/wp-content/uploads/2017/11/Eurasier.1-400x267.jpg
Field Spaniel,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/10115409/Field-Spaniels-of-different-colors-sitting-together-outdoors-400x267.jpg
Finnish Lapphund,https://www.akc.org/wp-content/uploads/2017/11/Finnish-Lapphund-lying-on-a-snow-covered-road-400x267.jpg
Finnish Spitz,https://www.akc.org/wp-content/uploads/2017/11/Finnish-Spitz-On-White-01-400x267.jpg
Flat-Coated Retriever,https://www.akc.org/wp-content/uploads/2017/11/Flat-Coated-Retrievers-sitting-outdoors-400x267.jpg
French Bulldog,https://www.akc.org/wp-content/uploads/2017/11/French-Bulldog-standing-outdoors-400x267.jpg
French Spaniel,https://www.akc.org/wp-content/uploads/2017/11/French-Spaniel-Gallery-01-400x267.jpg
German Longhaired Pointer,https://www.akc.org/wp-content/uploads/2017/11/German-Longhaired-Pointer-on-White-01-400x267.jpg
German Pinscher,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/20183655/German-Pinscher-standing-near-a-lake-400x267.jpg
German Shepherd Dog,https://www.akc.org/wp-content/uploads/2017/11/German-Shepherd-on-White-00-400x267.jpg
German Shorthaired Pointer,https://www.akc.org/wp-content/uploads/2017/11/German-Shorthaired-Pointer-On-White-07-400x267.jpg
German Spitz,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/24152054/German-Spitz-standing-in-profile-outdoors-400x267.jpg
German Wirehaired Pointer,https://www.akc.org/wp-content/uploads/2017/11/German-Wirehaired-Pointer-standing-in-a-green-grassy-field-400x267.jpg
Giant Schnauzer,https://www.akc.org/wp-content/uploads/2017/11/Giant-Schanuzer-standing-in-a-field-400x267.jpg
Glen of Imaal Terrier,https://www.akc.org/wp-content/uploads/2017/11/Glen-of-Imaal-Terrier-On-White-01-400x267.jpg
Golden Retriever,https://www.akc.org/wp-content/uploads/2017/11/Golden-Retriever-wading-into-a-lake-400x267.jpg
Gordon Setter,https://www.akc.org/wp-content/uploads/2017/11/Gordon-Setter.3-400x267.jpg
Grand Basset Griffon VendÃ©en,https://www.akc.org/wp-content/uploads/2017/11/GBGV.2-400x267.jpg
Great Dane,https://www.akc.org/wp-content/uploads/2017/11/Great-Dane-On-White-01-400x267.jpg
Great Pyrenees,https://www.akc.org/wp-content/uploads/2017/11/Great-Pyrenees-on-White-04-400x267.jpg
Greater Swiss Mountain Dog,https://www.akc.org/wp-content/uploads/2017/11/Greater-Swiss-Mountain-Dog-laying-down-in-the-grass-400x267.jpg
Greyhound,https://www.akc.org/wp-content/uploads/2017/11/Greyhound-running-400x267.jpg
Hamiltonstovare,https://www.akc.org/wp-content/uploads/2017/11/Hamiltonstovare-on-White-011-400x267.jpg
Hanoverian Scenthound,https://www.akc.org/wp-content/uploads/2017/11/Hanoverian-Scenthound.1-400x267.jpg
Harrier,https://www.akc.org/wp-content/uploads/2017/11/Harrier3-400x267.jpg
Havanese,https://www.akc.org/wp-content/uploads/2017/11/Havanese-standing-outdoors-400x267.jpg
Hokkaido,https://www.akc.org/wp-content/uploads/2017/11/Hokkaido.1-400x267.jpg
Hovawart,https://www.akc.org/wp-content/uploads/2017/11/Hovawart.10-400x267.jpg
Ibizan Hound,https://www.akc.org/wp-content/uploads/2017/11/Ibizan-Hound-sitting-in-profile-in-the-desert-400x267.jpg
Icelandic Sheepdog,https://www.akc.org/wp-content/themes/akc/component-library/assets/img/1x1.trans.gif
Irish Red and White Setter,https://www.akc.org/wp-content/themes/akc/component-library/assets/img/1x1.trans.gif
Irish Setter,https://www.akc.org/wp-content/themes/akc/component-library/assets/img/1x1.trans.gif
Irish Terrier,https://www.akc.org/wp-content/uploads/2017/11/Irish-Terriers-sitting-together-400x267.jpg
Irish Water Spaniel,https://www.akc.org/wp-content/uploads/2017/11/Irish-Water-Spaniel-On-White-01-400x267.jpg
Irish Wolfhound,https://www.akc.org/wp-content/uploads/2017/11/Irish-Wolfhound-standing-in-a-field-400x267.jpg
Italian Greyhound,https://www.akc.org/wp-content/uploads/2017/11/Two-Italian-Greyhounds-400x267.jpg
Jagdterrier,https://www.akc.org/wp-content/uploads/2017/11/Jagdterrier.4-400x267.jpg
Japanese Chin,https://www.akc.org/wp-content/uploads/2017/11/Japanese-Chin-standing-outdoors-400x267.jpg
Japanese Spitz,https://www.akc.org/wp-content/uploads/2019/06/Japanese-Spitz.4-400x267.jpg
Jindo,https://www.akc.org/wp-content/uploads/2017/11/Jindo-standing-in-the-yard-400x267.jpg
Kai Ken,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/04173549/Kai-Ken-standing-in-profile-outdoors-400x267.jpg
Karelian Bear Dog,https://www.akc.org/wp-content/uploads/2017/11/Karelian-Bear-Dog-400x267.jpg
Keeshond,https://www.akc.org/wp-content/uploads/2017/11/Keeshond-exploring-in-the-backyard-400x267.jpg
Kerry Blue Terrier,https://www.akc.org/wp-content/uploads/2017/11/Kerry-Blue-Terrier-standing-stacked-outdoors-400x267.jpg
Kishu Ken,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/29120141/Kishu-Ken-standing-in-the-brush-at-sunset-400x267.jpg
Komondor,https://www.akc.org/wp-content/uploads/2017/11/Komondor-standing-in-the-park-400x267.jpg
Kromfohrlander,https://www.akc.org/wp-content/uploads/2017/11/Kromfohrlander.6-400x267.jpg
Kuvasz,https://www.akc.org/wp-content/uploads/2017/11/Kuvasz-standing-outdoors-400x267.jpg
Labrador Retriever,https://www.akc.org/wp-content/uploads/2017/11/Labrador-Retrievers-three-colors-400x267.jpg
Lagotto Romagnolo,https://www.akc.org/wp-content/uploads/2017/11/Lagotto-Romagnolo-standing-by-a-pond-400x267.jpg
Lakeland Terrier,https://www.akc.org/wp-content/uploads/2017/11/Lakeland-Terrier-standing-stacked-outdoors-400x267.jpg
Lancashire Heeler,https://www.akc.org/wp-content/uploads/2017/11/Lancashire-heeler.1-400x267.jpg
Lapponian Herder,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/31115114/Lapponian-Herders-standing-together-in-the-shallows-400x267.jpg
Leonberger,https://www.akc.org/wp-content/uploads/2017/11/Leonberger-standing-in-a-field-400x267.jpg
Lhasa Apso,https://www.akc.org/wp-content/uploads/2017/11/Lhasa-Apso-On-White-01-400x267.jpg
LÃ¶wchen,https://www.akc.org/wp-content/uploads/2017/11/Lowchen-at-the-AKC-National-Championship-presented-by-Royal-Canin-400x267.jpg
Maltese,https://www.akc.org/wp-content/uploads/2017/11/Maltese-laying-down-in-a-chair-400x267.jpg
Manchester Terrier (Standard),https://www.akc.org/wp-content/uploads/2017/11/Manchester-Terrier-Standard-on-White-08-400x267.jpg
Manchester Terrier (Toy),https://www.akc.org/wp-content/uploads/2018/04/Manchester-Terrier-Slide-01-400x267.jpg
Mastiff,https://www.akc.org/wp-content/uploads/2017/11/Mastiff-On-White-03-400x267.jpg
Miniature American Shepherd,https://www.akc.org/wp-content/uploads/2017/11/Miniature-American-Shepherd-On-White-01-400x267.jpg
Miniature Bull Terrier,https://www.akc.org/wp-content/uploads/2017/11/Miniature-Bull-Terrier-standing-outdoors-400x267.jpg
Miniature Pinscher,https://www.akc.org/wp-content/uploads/2017/11/Miniature-Pinscher-standing-in-three-quarter-view-400x267.jpg
Miniature Schnauzer,https://www.akc.org/wp-content/uploads/2017/11/Miniature-Schnauzer-On-White-01-400x267.jpg
Mountain Cur,https://www.akc.org/wp-content/uploads/2017/11/Mountain-Cur-MP-400x267.jpg
Mudi,https://www.akc.org/wp-content/themes/akc/component-library/assets/img/1x1.trans.gif
Neapolitan Mastiff,https://www.akc.org/wp-content/themes/akc/component-library/assets/img/1x1.trans.gif
Nederlandse Kooikerhondje,https://www.akc.org/wp-content/themes/akc/component-library/assets/img/1x1.trans.gif
Newfoundland,https://www.akc.org/wp-content/uploads/2017/11/Newfoundland-standing-outdoors-400x267.jpg
Norfolk Terrier,https://www.akc.org/wp-content/uploads/2017/11/Norfolk-Terrier-sitting-in-the-grass.1-400x267.jpg
Norrbottenspets,https://www.akc.org/wp-content/uploads/2017/11/Norrbottenspets-On-White-01-400x267.jpg
Norwegian Buhund,https://www.akc.org/wp-content/uploads/2017/11/Norwegian-Buhund-On-White-01-400x267.jpg
Norwegian Elkhound,https://www.akc.org/wp-content/uploads/2017/11/Norwegian-Elkhound-sitting-in-the-snow-looking-back-over-its-shoulder-400x267.jpg
Norwegian Lundehund,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/08125010/Norwegian-Lundehund-standing-in-the-grass-400x267.jpg
Norwich Terrier,https://www.akc.org/wp-content/uploads/2017/11/Norwich-Terrier-standing-outdoors-400x267.jpg
Nova Scotia Duck Tolling Retriever,https://www.akc.org/wp-content/uploads/2017/11/Nova-Scotia-Duck-Tolling-Retriever-slide1-400x267.jpg
Old English Sheepdog,https://www.akc.org/wp-content/uploads/2017/11/Old-English-Sheepdogs-on-white-02-400x267.jpg
Otterhound,https://www.akc.org/wp-content/themes/akc/component-library/assets/img/1x1.trans.gif
Papillon,https://www.akc.org/wp-content/themes/akc/component-library/assets/img/1x1.trans.gif
Parson Russell Terrier,https://www.akc.org/wp-content/themes/akc/component-library/assets/img/1x1.trans.gif
Pekingese,https://www.akc.org/wp-content/uploads/2017/11/Pekingese-standing-in-the-grass-400x267.jpg
Pembroke Welsh Corgi,https://www.akc.org/wp-content/uploads/2017/11/Pembroke-Welsh-Corgi-standing-outdoors-in-the-fall-400x267.jpg
Perro de Presa Canario,https://www.akc.org/wp-content/uploads/2017/11/Perro-de-Presa-Canario.1-400x267.jpg
Peruvian Inca Orchid,https://www.akc.org/wp-content/uploads/2017/11/Peruvian-Inca-Orchid-04-400x267.jpg
Petit Basset Griffon VendÃ©en,https://www.akc.org/wp-content/uploads/2017/11/Petit-Basset-Griffon-Vendeen-On-White-03-400x267.jpg
Pharaoh Hound,https://www.akc.org/wp-content/uploads/2017/11/Pharaoh-Hound-laying-down-in-profile-400x267.jpg
Plott Hound,https://www.akc.org/wp-content/uploads/2017/11/IMG_8947-400x267.jpg
Pointer,https://www.akc.org/wp-content/uploads/2017/11/Pointer.4-400x267.jpg
Polish Lowland Sheepdog,https://www.akc.org/wp-content/uploads/2017/11/Polish-Lowland-Sheepdog-On-White-02-400x267.jpg
Pomeranian,https://www.akc.org/wp-content/themes/akc/component-library/assets/img/1x1.trans.gif
Poodle (Miniature),https://www.akc.org/wp-content/themes/akc/component-library/assets/img/1x1.trans.gif
Poodle (Standard),https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/24134701/Standard-Poodle-standing-outdoors-at-the-beach-400x267.jpg
Poodle (Toy),https://www.akc.org/wp-content/uploads/2018/04/Toy-Poodle-on-White-02-400x267.jpg
Porcelaine,https://www.akc.org/wp-content/uploads/2017/11/Porcelaine.4-400x267.jpg
Portuguese Podengo,https://www.akc.org/wp-content/uploads/2017/11/Portuguese-Podengo-standing-in-three-quarter-view-400x267.jpg
Portuguese Podengo Pequeno,https://www.akc.org/wp-content/uploads/2017/11/PPP-on-white-400x267.jpg
Portuguese Pointer,https://www.akc.org/wp-content/uploads/2017/11/Portuguese-Pointer-on-White-01-1-400x267.jpg
Portuguese Sheepdog,https://www.akc.org/wp-content/uploads/2017/11/Black-Portuguese-Sheepdog-standing-outdoors-in-the-grass-400x267.jpg
Portuguese Water Dog,https://www.akc.org/wp-content/uploads/2017/11/Portuguese-Water-Dog-standing-in-profile-outdoors-400x267.jpg
Pudelpointer,https://www.akc.org/wp-content/uploads/2017/11/Pudelpointer-standing-in-a-field-400x267.jpg
Pug,https://www.akc.org/wp-content/uploads/2017/11/Pug-On-White-01-400x267.jpg
Puli,https://www.akc.org/wp-content/uploads/2017/11/Puli-sitting-in-a-field-400x267.jpg
Pumi,https://www.akc.org/wp-content/uploads/2017/11/Pumi-standing-outdoors-in-the-countryside-400x267.jpg
Pyrenean Mastiff,https://www.akc.org/wp-content/uploads/2017/11/Pyrenean-Mastiff-On-White-01-400x267.jpg
Pyrenean Shepherd,https://www.akc.org/wp-content/uploads/2017/11/Pyrenean-Shepherd-standing-in-profile-in-a-field-400x267.jpg
Rafeiro do Alentejo,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/20180609/Rafeiro-do-Alentejo-standing-outdoors-in-a-field-1-400x267.jpg
Rat Terrier,https://www.akc.org/wp-content/uploads/2017/11/Rat-Terrier-On-White-01-400x267.jpg
Redbone Coonhound,https://www.akc.org/wp-content/uploads/2017/11/Redbone-Coonhound-400x267.jpg
Rhodesian Ridgeback,https://www.akc.org/wp-content/uploads/2017/11/Rhodesian-Ridgeback-standing-in-profile-outdoors-400x267.jpg
Romanian Mioritic Shepherd Dog,https://www.akc.org/wp-content/themes/akc/component-library/assets/img/1x1.trans.gif
Rottweiler,https://www.akc.org/wp-content/themes/akc/component-library/assets/img/1x1.trans.gif
Russell Terrier,https://www.akc.org/wp-content/uploads/2017/11/Russell-Terrier-On-White-03-400x267.jpg
Russian Toy,https://www.akc.org/wp-content/uploads/2017/11/Russian-Toy.4-400x267.jpg
Russian Tsvetnaya Bolonka,https://www.akc.org/wp-content/uploads/2017/11/Russian-Tsvetnaya-Bolonka-standing-on-a-white-background-400x267.jpg
Saint Bernard,https://www.akc.org/wp-content/uploads/2017/11/Saint-Bernard-On-White-01-400x267.jpg
Saluki,https://www.akc.org/wp-content/uploads/2017/11/AKC-121716-139-400x267.jpg
Samoyed,https://www.akc.org/wp-content/uploads/2017/11/Samoyed-standing-in-the-forest-400x267.jpg
Schapendoes,https://www.akc.org/wp-content/uploads/2017/11/Schapendoes-On-White-01-400x267.jpg
Schipperke,https://www.akc.org/wp-content/uploads/2017/11/Schipperke-On-White-01-400x267.jpg
Scottish Deerhound,https://www.akc.org/wp-content/uploads/2017/11/Scottish-Deerhound-standing-in-the-woods-400x267.jpg
Scottish Terrier,https://www.akc.org/wp-content/uploads/2017/11/Scottish-Terrier-On-White-02-400x267.jpg
Sealyham Terrier,https://www.akc.org/wp-content/uploads/2017/11/Sealyham-Terrier-standing-in-three-quarter-view.1-400x267.jpg
Segugio Italiano,https://www.akc.org/wp-content/uploads/2018/08/Segugio-Italiano-slideshow-08-400x267.jpg
Shetland Sheepdog,https://www.akc.org/wp-content/uploads/2017/11/Shetland-Sheepdog-On-White-01-400x267.jpg
Shiba Inu,https://www.akc.org/wp-content/uploads/2017/11/Shiba-Inu-standing-in-profile-outdoors-400x267.jpg
Shih Tzu,https://www.akc.org/wp-content/uploads/2017/11/Shih-Tzu-On-White-01-400x267.jpg
Shikoku,https://www.akc.org/wp-content/uploads/2017/11/Shikoku-standing-outdoors-400x267.jpg
Siberian Husky,https://www.akc.org/wp-content/uploads/2017/11/Siberian-Husky-standing-outdoors-in-the-winter-400x267.jpg
Silky Terrier,https://www.akc.org/wp-content/uploads/2017/11/Silky-Terrier-On-White-01-400x267.jpg
Skye Terrier,https://www.akc.org/wp-content/uploads/2017/11/Skye-Terrier-standing-outdoors-in-profile-400x267.jpg
